-6,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,HPAMixCPU60,DMMixCPU60,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,Original,Mix98MinCPU60,Mix98MinCPU60,,3783,-10789,14572,0.75
450,76.32533204,91.04823275,96.08270743,2,11,11,17.8,18,20.8,2.21E-01,0.0490668534,5.78E-02,1,1,1,1,10,10,98,7,,,,,0.65,95.92008323,18,18.52,0.02706731983,1,-17,,0.7
456,76.51503806,91.08008101,96.0955529,2,11,11,17.88,18.24,20.76,2.56E-01,0.05199327285,5.64E-02,1,1,1,1,10,10,98,7,,,,,0.65,95.94006275,18,18.4,0.02891144186,1,-17,,0.7
462,76.65245096,91.12924296,96.11184365,2,11,11,17.68,18.4,20.44,2.56E-01,0.04988519476,4.50E-02,1,1,1,1,10,10,98,7,,,,,0.65,95.95869141,18,18,0.02969743198,1,-17,,0.7
468,76.80301439,91.1738594,96.14928171,2,11,11,17.72,18.28,20.36,2.37E-01,0.04653621633,5.23E-02,1,1,1,1,10,10,98,7,,,,,0.65,95.97540523,18,18.12,0.03253169759,1,-17,,0.7
474,76.94142557,91.26347005,96.16250849,2,10,11,17.56,17.48,20.6,2.43E-01,0.05683289822,5.35E-02,1,1,1,1,9,10,98,7,,,,,0.65,95.99926256,18,18.28,0.03259826279,1,-17,,0.7
480,77.24463782,91.29230468,96.17615885,2,10,11,19.48,17.56,20.8,3.01E-01,0.0486461046,5.20E-02,2,1,1,0,9,10,98,7,,,,,0.65,96.02228907,18,18.12,0.03018063461,1,-17,,0.7
486,77.35575955,91.33244381,96.18801008,2,10,11,18.08,17.88,20.8,2.06E-01,0.04649172285,5.19E-02,1,1,1,1,9,10,98,7,,,,,0.65,96.0415327,18,18.12,0.03157389005,1,-17,,0.7
492,77.64115339,91.37520845,96.20213073,1,10,11,18.08,17.76,20.76,4.94E-01,0.04932085464,4.98E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.05191585,18,16.64,0.02903962554,1,-17,,0.7
498,77.75495696,91.41504706,96.23938452,1,10,11,17.6,17.84,20.6,4.94E-01,0.04700400502,4.70E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.05147651,18,12.16,0.02714398703,1,-17,,0.7
504,77.80233515,91.48168644,96.24495951,1,10,11,15.16,15.6,18.28,4.67E-01,0.05010331789,5.10E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.04764349,18,7.84,0.02573202242,1,-17,,0.7
510,77.80302884,91.45952595,96.24284387,1,10,11,11.56,10.44,13.56,4.39E-01,0.04519930744,5.21E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.05636238,18,4.88,0.02066165989,1,-17,,0.7
516,77.8037306,91.45160149,96.23476846,1,10,11,8.04,6.72,8.56,2.86E-01,0.03910863417,4.40E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.06142899,18,3,0.01414130835,1,-17,,0.7
522,77.87198069,91.46149541,96.23559698,1,10,11,2.96,3.64,4.4,2.86E-01,0.02953023187,3.63E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.06651097,18,3.52,0.01374548698,1,-17,,0.7
528,77.91339205,91.47066797,96.25902183,1,10,11,3.08,2.76,3.08,2.14E-02,0.02393297566,2.00E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.06856869,18,5.16,0.01102033244,1,-17,,0.7
534,77.97041301,91.52890207,96.26256502,1,10,11,4.68,4.24,5,8.14E-02,0.0190661941,1.51E-02,1,1,1,0,9,10,98,7,,,,,0.65,96.09360119,9,8.56,0.0183949227,1,-8,,0.7
540,78.03862018,91.53404377,96.26639343,1,9,11,6.48,6.76,7.08,6.54E-02,0.01714868446,1.31E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.10377063,1,10.32,0.1681258102,1,0,,0.7
546,78.11490597,91.55502071,96.26978348,1,9,11,8.24,9.16,10.24,1.75E-01,0.02208191214,1.95E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.12032028,1,11.92,0.3607341499,1,0,,0.7
552,78.33649676,91.58439239,96.28232042,1,9,11,12.04,10.6,12.52,1.75E-01,0.02821136175,2.10E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.13455207,1,13.4,0.5363752555,1,0,,0.7
558,78.4519735,91.61153067,96.31549463,1,9,11,13.76,12.32,14.68,1.79E-01,0.03276001325,3.04E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.15040652,1,15.04,0.5363752555,1,0,,0.7
564,78.58257574,91.7033289,96.32895623,1,9,11,15.76,14.56,17.8,3.33E-01,0.04214691804,3.65E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.17306192,1,18,0.4132920337,1,0,,0.7
570,78.71435967,91.73823431,96.34492357,1,9,11,17.44,16.72,19.96,4.01E-01,0.03894219507,4.00E-02,1,1,1,0,8,10,98,7,,,,,0.65,96.19062581,1,18.52,0.3782601839,1,0,,0.7
576,78.86840206,91.78680785,96.35939878,1,9,11,19.36,19.24,23.04,2.83E-01,0.05114463862,4.89E-02,2,1,2,-1,8,9,98,7,,,,,0.65,96.21261909,6,19.80187667,0.4617988832,1,-5,,0.7
582,79.19518682,91.83276085,96.38163079,1,9,11,22.68,21.2,25.56,4.95E-01,0.06008132349,4.64E-02,2,1,2,-1,8,9,98,7,,,,,0.65,96.24314693,6,23.35258222,0.3831976694,2,-4,,0.7
588,79.35516627,91.89078959,96.42168066,1,9,11,23.8,23.84,27.16,5.72E-01,0.06278730083,6.78E-02,2,2,2,-1,7,9,98,7,,,,,0.65,96.27251097,6,25.70808667,0.3646050913,2,-4,,0.7
594,79.53629009,92.00121459,96.44445351,1,9,11,25.76,25.72,30.2,5.72E-01,0.09094831674,7.85E-02,2,2,2,-1,7,9,98,7,,,,,0.65,96.31177082,6,25.696912,0.3662815117,2,-4,,0.7
600,79.91629447,92.06840467,96.46771366,1,8,11,28.92,28.4,32.64,7.43E-01,0.1081552306,7.88E-02,2,2,2,-1,6,9,98,7,,,,,0.65,96.34746529,6,30.63462133,0.2399545106,2,-4,,0.7
606,80.05963734,92.14527297,96.4942849,1,8,11,29.32,32,36.12,7.43E-01,0.1006409378,8.30E-02,2,2,2,-1,6,9,98,7,,,,,0.65,96.38769099,6,36.92,0.2339128705,2,-4,,0.7
612,80.1563466,92.21402615,96.52554658,1,8,11,30.04,33.8,39.84,8.36E-01,0.1169221927,8.42E-02,2,2,2,-1,6,9,98,7,,,,,0.65,96.4304383,6,41.48,0.2285435061,2,-4,,0.7
618,80.10097007,92.29719015,96.57537754,1,8,11,29.12,37.24,43.04,9.66E-01,0.1225398566,8.89E-02,2,2,2,-1,6,9,98,7,,,,,0.65,96.47575618,6,46.2,0.2312069426,3,-3,,0.7
624,79.65096724,92.43125563,96.61101131,1,8,11,26.96,40.8,47.36,9.66E-01,0.1238927705,1.11E-01,2,2,3,-1,6,8,98,7,,,,,0.65,96.52225481,6,51.32,0.2314642869,3,-3,,0.7
630,79.26926126,92.54638402,96.65058542,1,8,11,26.28,46.48,53.48,9.66E-01,0.1235999887,1.07E-01,2,3,3,-1,5,8,98,7,,,,,0.65,96.57135551,6,55.12,0.2178137489,3,-3,,0.7
636,78.78839757,92.66152502,96.69513404,1,7,11,25.4,51.92,59.92,7.09E-01,0.1710985051,1.26E-01,2,3,3,-1,4,8,98,7,,,,,0.65,96.62607245,6,59.72,0.2970962397,3,-3,,0.7
642,78.25639463,92.76715147,96.74050673,1,7,11,25.4,56.44,65.16,9.93E-01,0.1846843321,1.19E-01,2,3,3,-1,4,8,98,7,,,,,0.65,96.67904058,6,63.64,0.3093781441,3,-3,,0.7
648,77.69662304,92.87906275,96.80039107,1,7,11,25.48,60.4,70.52,9.95E-01,0.1862951396,1.73E-01,2,3,4,-1,4,7,98,7,,,,,0.65,96.73336194,6,69.2,0.2742901753,4,-2,,0.7
654,76.67589937,93.03616219,96.84762767,1,7,11,25.2,65.2,75.36,9.95E-01,0.2432928941,1.86E-01,2,3,4,-1,4,7,98,7,,,,,0.65,96.79808697,6,74.12,0.303551141,4,-2,,0.7
660,76.21507119,93.17940748,96.8975271,1,7,11,24.56,71,81.32,9.95E-01,0.2234842583,1.77E-01,2,4,4,-1,3,7,98,7,,,,,0.65,96.85416482,6,77.76,0.3486971875,4,-2,,0.7
666,75.87961041,93.31962463,96.95594163,2,7,11,29.56709333,75.44,87.52,6.28E-01,0.2308990133,2.06E-01,2,4,4,0,3,7,98,7,,,,,0.65,96.91644909,6,82.52105288,0.368633668,4,-2,,0.7
672,75.56296083,93.43249056,97.00319178,2,7,11,31.421,79.36,90.76,5.48E-01,0.2716837544,1.87E-01,2,4,4,0,3,7,98,7,,,,,0.65,96.97771183,6,88.08,0.4212065016,4,-2,,0.7
678,75.24388089,93.55638987,97.06570859,2,7,11,35.86262667,83.24,95.2,4.33E-01,0.2685472214,2.34E-01,3,4,5,-1,3,6,98,7,,,,,0.65,97.034365,6,91.84,0.4249094766,5,-1,,0.7
