,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,259.525,260.4797867,260.375,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,9992,9828,9659,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.75,,original,,,,3815,-15533,,73,76
516,86.77117239,99.98923251,95.33545845,3,3,6,61,60.65,61.125,7.53E-01,0.7464285742,0.3389506194,3,3,3,0,0,3,97,7,,,,,0.75,,92.97211105,21,84.35908818,92.97211105,4,-17,0.7,,
522,87.01098722,99.98942001,95.46539572,3,3,6,61.475,61.475,61.575,6.60E-01,0.6282874823,0.3348950257,3,3,3,0,0,3,97,7,,,,,0.75,,92.98478103,21,56.32,92.98478103,3,-18,0.7,,
528,87.24752339,99.98959959,95.55077364,3,3,6,62.225,62.175,62.475,6.89E-01,0.726743739,0.3523484202,3,3,3,0,0,3,97,7,,,,,0.75,,92.96923815,21,25.72,92.96923815,2,-19,0.7,,
534,87.48061422,99.98977481,95.63292604,3,3,6,63,62.825,63.675,7.23E-01,0.7640301258,0.382414917,3,3,3,0,0,3,97,7,,,,,0.75,,92.95634005,21,7.08,92.95634005,1,-20,0.7,,
540,87.84564915,99.9046037,95.70926731,3,3,6,64.5,64.2,64.375,6.66E-01,0.7782649752,0.3432342486,3,3,3,0,0,3,97,7,,,,,0.75,,92.959943,21,0.24,92.959943,1,-20,0.7,,
546,88.07353759,99.85423444,95.82566195,3,3,6,66.1,65.6,66.15,7.97E-01,0.7439984583,0.3550741196,4,3,3,-1,0,3,97,7,,,,,0.75,,92.97169647,21,0,92.97169647,0,-21,0.7,,
552,88.28783832,99.85669475,95.90336969,3,3,6,67.125,66.7,66.925,8.03E-01,0.6789335686,0.4098457104,4,3,3,-1,0,3,97,7,,,,,0.75,,92.98383526,21,0.12,92.98383526,1,-20,0.7,,
558,88.45506131,99.85906167,95.98408602,3,3,6,67.825,67.75,68.75,7.80E-01,0.7685894132,0.3295581406,4,3,3,-1,0,3,97,7,,,,,0.75,,92.983439,21,2.4,92.983439,1,-20,0.7,,
564,88.66091607,99.86135032,96.05593456,3,3,6,68.95,68.3,69.8,8.36E-01,0.660607515,0.3446208733,4,3,3,-1,0,3,97,7,,,,,0.75,,93.03382112,21,10.96,93.03382112,1,-20,0.7,,
570,88.98185172,99.59477485,96.12502716,3,3,6,70.35,69.4,71,7.83E-01,0.6768161851,0.4334055782,4,3,3,-1,0,3,97,7,,,,,0.75,,93.20303957,21,35.12,93.20303957,2,-19,0.7,,
576,89.17645512,99.52935301,96.22696556,3,3,6,71.975,71.925,72.00357143,8.72E-01,0.6973972857,0.4430883425,4,3,4,-1,0,2,97,7,,,,,0.75,,93.43574783,21,69.2,93.43574783,4,-17,0.7,,
582,89.35870025,99.53299167,96.29684005,3,3,6,72.9,72.675,72.925,7.86E-01,0.785839992,0.4021582835,4,3,4,-1,0,2,97,7,,,,,0.75,,93.67742466,21,100.72,93.67742466,5,-16,0.7,,
588,89.54319369,99.53224552,96.36741546,3,3,6,73.825,73.525,74.725,9.01E-01,0.8760271252,0.4301392683,4,3,4,-1,0,2,97,7,,,,,0.75,,93.89028227,21,132.64,93.89028227,7,-14,0.7,,
594,89.71151106,99.47623824,96.42921403,3,3,6,74.575,74.075,75.55,8.55E-01,0.7832651059,0.4393454356,4,4,4,-1,-1,2,97,7,,,,,0.75,,94.10122162,21,146.68,94.10122162,7,-14,0.7,,
600,89.72745471,99.33355214,96.49091862,3,3,6,76.375,75.93571429,76.75,8.05E-01,0.7539393629,0.425146039,4,4,4,-1,-1,2,97,7,,,,,0.75,,94.28946277,21,150.76,94.28946277,7,-14,0.7,,
606,89.77004951,99.0410354,96.58435146,4,4,6,76.075,77.2,78.05,6.66E-01,0.6155417199,0.457372847,4,4,4,0,0,2,97,7,,,,,0.75,,94.45630478,21,149.52,94.45630478,7,-14,0.7,,
612,89.97587888,99.05160299,96.64421417,4,4,6,79.12047778,77.9181,79.15,6.60E-01,0.6147184677,0.4092846709,4,4,4,0,0,2,97,7,,,,,0.75,,94.62581158,21,149.4,94.62581158,7,-14,0.7,,
618,90.14506238,99.07220843,96.69917796,4,4,6,79.69951822,78.79331467,79.5,6.84E-01,0.623360836,0.463378583,4,4,4,0,0,2,97,7,,,,,0.75,,94.79148941,21,150.6,94.79148941,7,-14,0.7,,
