,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888173,1,0,99.42888173,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887069,1,0,99.42887069,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901498,1,0,99.42901498,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899274,1,0,99.42899274,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899414,1,0,99.42899414,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897103,1,0,99.42897103,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896511,1,0,99.42896511,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893256,1,0,99.42893256,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289073,1,0,99.4289073,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890549,1,0,99.42890549,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288714,1,0,99.4288714,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886794,1,0,99.42886794,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901226,1,0,99.42901226,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901407,1,0,99.42901407,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899143,1,0,99.42899143,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896221,1,0,99.42896221,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289624,1,0,99.4289624,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892985,1,0,99.42892985,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892864,1,0,99.42892864,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890277,1,0,99.42890277,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886871,1,0,99.42886871,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886522,1,0,99.42886522,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900954,1,0,99.42900954,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901132,1,0,99.42901132,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898869,1,0,99.42898869,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895949,1,0,99.42895949,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895962,1,0,99.42895962,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892711,1,0,99.42892711,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892585,1,0,99.42892585,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890005,1,0,99.42890005,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886602,1,0,99.42886602,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885238,1,0,99.42885238,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900682,1,0,99.42900682,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900857,1,0,99.42900857,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898596,1,0,99.42898596,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898067,1,0,99.42898067,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894899,1,0,99.42894899,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892438,1,0,99.42892438,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892309,1,0,99.42892309,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889731,1,0,99.42889731,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888718,1,0,99.42888718,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884961,1,0,99.42884961,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290041,1,0,99.4290041,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900582,1,0,99.42900582,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897732,1,0,99.42897732,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897794,1,0,99.42897794,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894627,1,0,99.42894627,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894555,1,0,99.42894555,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289204,1,0,99.4289204,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888731,1,0,99.42888731,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888447,1,0,99.42888447,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884695,1,0,99.42884695,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902528,1,0,99.42902528,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900314,1,0,99.42900314,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897466,1,0,99.42897466,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897525,1,0,99.42897525,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894359,1,0,99.42894359,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894285,1,0,99.42894285,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891771,1,0,99.42891771,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888465,1,0,99.42888465,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888177,1,0,99.42888177,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884426,1,0,99.42884426,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902257,1,0,99.42902257,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900046,1,0,99.42900046,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.428972,1,0,99.428972,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896497,1,0,99.42896497,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894095,1,0,99.42894095,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894018,1,0,99.42894018,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891506,1,0,99.42891506,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890578,1,0,99.42890578,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886944,1,0,99.42886944,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884165,1,0,99.42884165,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901992,1,0,99.42901992,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899782,1,0,99.42899782,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899309,1,0,99.42899309,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289623,1,0,99.4289623,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289383,1,0,99.4289383,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289375,1,0,99.4289375,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890535,1,0,99.42890535,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890311,1,0,99.42890311,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886679,1,0,99.42886679,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903894,1,0,99.42903894,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901727,1,0,99.42901727,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898947,1,0,99.42898947,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899045,1,0,99.42899045,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895967,1,0,99.42895967,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895937,1,0,99.42895937,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893486,1,0,99.42893486,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890273,1,0,99.42890273,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890046,1,0,99.42890046,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886388,1,0,99.42886388,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.429036,1,0,99.429036,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901435,1,0,99.42901435,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898655,1,0,99.42898655,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898745,1,0,99.42898745,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895668,1,0,99.42895668,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895635,1,0,99.42895635,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893186,1,0,99.42893186,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889976,1,0,99.42889976,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888816,1,0,99.42888816,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886117,1,0,99.42886117,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903325,1,0,99.42903325,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901162,1,0,99.42901162,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900747,1,0,99.42900747,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897748,1,0,99.42897748,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895405,1,0,99.42895405,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895368,1,0,99.42895368,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892919,1,0,99.42892919,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892067,1,0,99.42892067,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888547,1,0,99.42888547,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885844,1,0,99.42885844,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903051,1,0,99.42903051,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900336,1,0,99.42900336,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900471,1,0,99.42900471,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897474,1,0,99.42897474,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289749,1,0,99.4289749,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895097,1,0,99.42895097,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891972,1,0,99.42891972,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891799,1,0,99.42891799,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888281,1,0,99.42888281,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887938,1,0,99.42887938,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902789,1,0,99.42902789,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900076,1,0,99.42900076,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900209,1,0,99.42900209,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897214,1,0,99.42897214,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897227,1,0,99.42897227,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894836,1,0,99.42894836,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891712,1,0,99.42891712,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891536,1,0,99.42891536,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288802,1,0,99.4288802,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887674,1,0,99.42887674,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902527,1,0,99.42902527,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899816,1,0,99.42899816,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289924,1,0,99.4289924,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896952,1,0,99.42896952,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896963,1,0,99.42896963,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894573,1,0,99.42894573,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893797,1,0,99.42893797,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890382,1,0,99.42890382,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887758,1,0,99.42887758,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288741,1,0,99.4288741,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902266,1,0,99.42902266,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901901,1,0,99.42901901,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289898,1,0,99.4289898,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896694,1,0,99.42896694,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896702,1,0,99.42896702,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893637,1,0,99.42893637,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893515,1,0,99.42893515,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890102,1,0,99.42890102,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288982,1,0,99.4288982,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887129,1,0,99.42887129,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290145,1,0,99.4290145,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901617,1,0,99.42901617,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898698,1,0,99.42898698,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898752,1,0,99.42898752,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289642,1,0,99.4289642,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893378,1,0,99.42893378,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893254,1,0,99.42893254,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889842,1,0,99.42889842,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889557,1,0,99.42889557,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886868,1,0,99.42886868,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901185,1,0,99.42901185,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901349,1,0,99.42901349,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898431,1,0,99.42898431,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898481,1,0,99.42898481,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896149,1,0,99.42896149,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893108,1,0,99.42893108,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892123,1,0,99.42892123,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889569,1,0,99.42889569,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889282,1,0,99.42889282,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886595,1,0,99.42886595,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903249,1,0,99.42903249,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900402,1,0,99.42900402,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898167,1,0,99.42898167,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898216,1,0,99.42898216,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895886,1,0,99.42895886,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895176,1,0,99.42895176,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891864,1,0,99.42891864,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889311,1,0,99.42889311,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889021,1,0,99.42889021,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885546,1,0,99.42885546,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902987,1,0,99.42902987,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290014,1,0,99.4290014,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900233,1,0,99.42900233,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897952,1,0,99.42897952,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894991,1,0,99.42894991,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894908,1,0,99.42894908,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891597,1,0,99.42891597,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891369,1,0,99.42891369,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888754,1,0,99.42888754,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885279,1,0,99.42885279,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902717,1,0,99.42902717,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899872,1,0,99.42899872,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899962,1,0,99.42899962,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897684,1,0,99.42897684,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894725,1,0,99.42894725,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894643,1,0,99.42894643,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289133,1,0,99.4289133,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.428911,1,0,99.428911,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888486,1,0,99.42888486,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885015,1,0,99.42885015,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902448,1,0,99.42902448,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899605,1,0,99.42899605,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899692,1,0,99.42899692,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897416,1,0,99.42897416,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896775,1,0,99.42896775,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893553,1,0,99.42893553,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891068,1,0,99.42891068,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890835,1,0,99.42890835,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888222,1,0,99.42888222,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887066,1,0,99.42887066,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901531,1,0,99.42901531,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899346,1,0,99.42899346,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899431,1,0,99.42899431,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896545,1,0,99.42896545,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896496,1,0,99.42896496,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892134,1,0,99.42892134,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891933,1,0,99.42891933,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888434,1,0,99.42888434,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888066,1,0,99.42888066,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902936,1,0,99.42902936,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900239,1,0,99.42900239,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900347,1,0,99.42900347,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897369,1,0,99.42897369,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897356,1,0,99.42897356,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894986,1,0,99.42894986,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891879,1,0,99.42891879,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891676,1,0,99.42891676,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888178,1,0,99.42888178,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887807,1,0,99.42887807,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902679,1,0,99.42902679,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899984,1,0,99.42899984,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900087,1,0,99.42900087,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289711,1,0,99.4289711,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897095,1,0,99.42897095,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894723,1,0,99.42894723,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891618,1,0,99.42891618,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890523,1,0,99.42890523,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887917,1,0,99.42887917,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887544,1,0,99.42887544,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902417,1,0,99.42902417,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902024,1,0,99.42902024,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899122,1,0,99.42899122,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896853,1,0,99.42896853,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896835,1,0,99.42896835,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894467,1,0,99.42894467,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893658,1,0,99.42893658,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890262,1,0,99.42890262,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887658,1,0,99.42887658,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887281,1,0,99.42887281,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901619,1,0,99.42901619,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901753,1,0,99.42901753,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898853,1,0,99.42898853,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898882,1,0,99.42898882,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896565,1,0,99.42896565,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893543,1,0,99.42893543,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289339,1,0,99.4289339,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889997,1,0,99.42889997,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889687,1,0,99.42889687,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887015,1,0,99.42887015,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901357,1,0,99.42901357,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901495,1,0,99.42901495,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898596,1,0,99.42898596,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898623,1,0,99.42898623,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289631,1,0,99.4289631,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893288,1,0,99.42893288,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893131,1,0,99.42893131,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889739,1,0,99.42889739,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889428,1,0,99.42889428,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886756,1,0,99.42886756,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901099,1,0,99.42901099,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900555,1,0,99.42900555,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898314,1,0,99.42898314,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898338,1,0,99.42898338,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896026,1,0,99.42896026,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895293,1,0,99.42895293,0,-1,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891996,1,0,99.42891996,0,-1,70
