,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,52.28,153.28,151.8,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75
522,29.24655917,96.83673008,90.32074003,2,12,9,41.72,0.08,0.4,0.6950332725,0.05083746489,5.04E-02,7,1,1,-5,11,8,98,7,,,,,0.65,,92.98478103,21,56.32,92.98478103,3,-18,0.7
528,31.15433282,96.83307041,90.30303973,2,12,9,36.36,0,0,0.750101731,0.01079497143,2.83E-02,5,0,0,-3,12,9,98,7,,,,,0.65,,92.96923815,21,25.72,92.96923815,2,-19,0.7
534,31.11994877,96.84471073,90.33865379,2,12,9,28.32,0.48,0.12,0.7421559604,0.004467208035,1.05E-02,4,1,1,-2,11,8,98,7,,,,,0.65,,92.95634005,21,7.08,92.95634005,1,-20,0.7
540,31.09090555,96.8493215,90.38150764,2,12,9,19.72,3.319942409,2,0.6717593151,0.003745956476,3.37E-03,3,1,1,-1,11,8,98,7,,,,,0.65,,92.959943,21,0.24,92.959943,1,-20,0.7
546,31.06617911,96.87158022,90.5614594,2,12,9,11.2,12.6,8.16,0.4740987544,0.004008915151,6.87E-03,2,1,1,0,11,8,98,7,,,,,0.65,,92.97169647,21,0,92.97169647,0,-21,0.7
552,31.04501901,96.93921448,90.87688477,2,12,9,3.52,42.64,32.32,0.09504881955,0.02061595169,2.44E-02,1,2,2,1,10,7,98,7,,,,,0.65,,92.98383526,21,0.12,92.98383526,1,-20,0.7
558,31.15959262,97.0408268,91.19453335,2,12,9,0,81.44,65.76,0.09504881955,0.06562364338,8.12E-02,0,4,4,2,8,5,98,7,,,,,0.65,,92.983439,21,2.4,92.983439,1,-20,0.7
564,31.13658085,97.11889152,91.42990739,2,12,9,0.04,114.5616515,103.77,0.06190702428,0.1131305944,1.01E-01,1,6,5,1,6,4,98,7,,,,,0.65,,93.03382112,21,10.96,93.03382112,1,-20,0.7
570,31.33958279,97.19295454,91.65698571,2,12,9,1.24,140.88,129.28,0.006681561618,0.2230038963,2.89E-01,1,7,7,1,5,2,98,7,,,,,0.65,,93.20303957,21,35.12,93.20303957,2,-19,0.7
576,31.99937433,97.25909146,91.9002364,2,12,9,5.04,149.16,144.8,0.03577489062,0.2743799676,3.63E-01,1,7,7,1,5,2,98,7,,,,,0.65,,93.43574783,21,69.2,93.43574783,4,-17,0.7
582,33.7138022,97.32526745,92.15379388,2,11,9,21.28,150.28,149.92,0.0859415041,0.3448589062,4.66E-01,3,7,7,-1,4,2,98,7,,,,,0.65,,93.67742466,21,100.72,93.67742466,5,-16,0.7
