,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,HPASlow98CPU60,DMSlow98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,0.75
432,53.19932546,78.79696104,98.13017137,4,10,10,68.88,145.2058263,149.08,0.8310949164,0.4768174366,0.4271850485,6,8,7,-2,2,3,98,7,,,,,0.65,,,,,,,,0.75
438,53.04204719,79.34089252,98.17589262,4,10,10,73.78842667,145.5612129,148.2,0.6648022085,0.5270929393,0.4062017459,6,8,7,-2,2,3,98,7,,,,,0.65,,,,,,,,0.75
444,53.88476634,79.96831079,98.20902491,4,10,10,77.79222,145.0388097,148.8,0.6497886498,0.4869624007,0.4457544282,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
450,54.13708557,80.32549451,98.24799319,4,10,10,84.07123333,143.6,148.6,0.6916290805,0.5228965801,0.4103641633,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
456,55.0390207,81.02671747,98.28013489,4,10,10,84.29352133,145.4811457,148.24,0.6022950036,0.5174535473,0.3584298467,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
462,55.80529203,81.46025856,98.31118723,4,10,10,85.8,145.36,149,0.6705017164,0.4738157316,0.4147555192,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
468,56.20910536,81.96986973,98.34893156,4,10,10,86.44,147.52,148.48,0.7547927289,0.4662943982,0.3870621075,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
474,56.12871044,82.43564618,98.37626912,4,10,10,84.28,147.92,148.96,0.6812009037,0.4777807474,0.4118785402,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
480,56.49340053,82.81651104,98.40076965,4,10,10,89.12,147.12,149,0.7860973298,0.4796040308,0.4035484127,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
486,57.23567789,83.35988927,98.42760025,4,10,10,92.36,148.2787585,148.56,0.7534407118,0.4677047183,0.4104883233,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
492,57.81427942,83.6941113,98.45279273,4,10,10,91.72,147.7212417,147.44,0.7384577299,0.4300362563,0.4267344596,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
498,58.12389928,84.06979901,98.48405341,4,10,10,90.68,146.5987521,147.72,0.7722088544,0.4827594525,0.4317759229,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
504,58.24755747,84.44692898,98.50773204,4,10,10,88.48,145.5161573,147.68,0.7137903286,0.446565961,0.438143613,7,8,7,-3,2,3,98,7,,,,,0.65,,,,,,,,0.75
510,58.3546197,84.72248192,98.53446031,4,9,10,88.52,145.16,148.4,0.6277135904,0.4780257678,0.4087959324,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
516,58.35655599,85.12764017,98.55704448,4,9,10,89.8,143.36,147.16,0.5709265336,0.4974778743,0.4086221114,7,8,7,-3,1,3,98,7,,,,,0.65,,,,,,,,0.75
