,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,145.72,146.64,146.04,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,5310,5349,5331,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,0.75,73,76
354,99.06119815,99.34279051,99.7700864,3,2,3,52.30344667,57.44,59.56,5.84E-01,7.60E-01,4.92E-01,3,3,3,0,-1,0,98,7,,,,,0.65,,77.53913126,21,4.449146667,77.53913126,1,-20,0.75,,
360,99.08406608,99.0068051,99.7763183,3,3,3,55.636296,59.08762,60.8,5.54E-01,5.88E-01,4.98E-01,3,3,3,0,0,0,98,7,,,,,0.65,,77.77335988,21,6.846717333,77.77335988,1,-20,0.75,,
366,99.10755686,98.96726272,99.78257134,3,3,3,60.28,54.59130667,60.84,6.11E-01,5.47E-01,4.90E-01,3,3,3,0,0,0,98,7,,,,,0.65,,77.90988177,21,8.659554667,77.90988177,1,-20,0.75,,
372,99.16930318,98.99187777,99.79012879,3,3,3,62.32,55.39312167,60.84,6.19E-01,5.35E-01,5.44E-01,3,3,3,0,0,0,98,7,,,,,0.65,,78.44879601,21,15.81304933,78.44879601,1,-20,0.75,,
378,99.13563738,99.01837624,99.79886803,3,3,3,62.52,56.84552,62.68,5.56E-01,6.01E-01,5.55E-01,3,3,3,0,0,0,98,7,,,,,0.65,,79.57035069,21,30.90602,79.57035069,2,-19,0.75,,
384,99.1646965,99.06365832,99.80407054,3,3,3,63.84,59.96482133,63.36,4.84E-01,5.77E-01,5.22E-01,3,3,3,0,0,0,98,7,,,,,0.65,,81.31346841,21,55.628432,81.31346841,3,-18,0.75,,
390,99.18159662,99.08115086,99.80929321,3,3,3,63.96,64.56,64.64,5.32E-01,6.53E-01,5.11E-01,3,3,3,0,0,0,98,7,,,,,0.65,,82.94401675,21,85.27633867,82.94401675,5,-16,0.75,,
396,99.19998754,98.87314837,99.81413962,3,3,3,65.84,64.48,65.72,5.53E-01,6.29E-01,5.27E-01,3,3,3,0,0,0,98,7,,,,,0.65,,84.47009377,21,117.3801413,84.47009377,7,-14,0.75,,
402,99.24769285,98.88900287,99.82038831,3,3,3,67.92,65.12,66.8,6.29E-01,5.77E-01,5.02E-01,3,3,3,0,0,0,98,7,,,,,0.65,,85.64990966,21,136.72,85.64990966,7,-14,0.75,,
408,99.2640262,98.90840327,99.81319596,3,3,3,68,65.24,67.6,5.20E-01,5.54E-01,5.53E-01,3,3,3,0,0,0,98,7,,,,,0.65,,86.71179565,21,145.88,86.71179565,8,-13,0.75,,
414,99.27370925,98.83914986,99.81092429,3,3,3,69.64,65.2,68.48,4.56E-01,5.74E-01,5.54E-01,3,3,3,0,0,0,98,7,,,,,0.65,,87.70750824,21,150.36,87.70750824,8,-13,0.75,,
420,99.18272438,98.85996896,99.80880301,3,3,3,67.28,65.76,69.28,5.55E-01,6.02E-01,5.04E-01,3,3,3,0,0,0,98,7,,,,,0.65,,88.36372973,21,142.6,88.36372973,8,-13,0.75,,
426,99.01519009,98.88483974,99.81336278,3,4,3,65.72,63.38937333,69.96,5.55E-01,5.46E-01,5.34E-01,3,3,3,0,1,0,98,7,,,,,0.65,,88.89013775,21,131.44,88.89013775,7,-14,0.75,,
432,98.69009796,98.26924734,99.72997975,3,4,3,66.16,64.35722667,69.88,4.90E-01,5.17E-01,6.24E-01,3,3,3,0,1,0,98,7,,,,,0.65,,89.05934187,21,104.88,89.05934187,6,-15,0.75,,
438,98.71831467,98.1816384,99.66848371,3,4,3,66.4,63.119465,70.72,6.75E-01,4.38E-01,5.90E-01,3,3,4,0,1,-1,98,7,,,,,0.65,,89.05038794,21,68.28,89.05038794,4,-17,0.75,,
