,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,9468,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,#REF!,#REF!,0.75,73,76
2376,30.05285114,74.53361609,97.79873521,1,9,19,5.6804,206.075,200.7,3.60E-01,0.8220025106,0.3856877091,1,12,9,0,-3,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2382,30.06409649,74.53536185,97.80338759,1,9,19,5.912255556,199.4178571,209.475,6.49E-01,0.7804730716,0.3605559127,1,11,9,0,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2388,30.07535018,74.58048872,97.80997021,1,9,19,5.8,211.275,220.575,7.65E-01,0.814054018,0.3966983778,1,12,10,0,-3,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2394,30.08096329,74.60673031,97.81569854,1,11,19,0.9568457143,214.5770722,212.575,8.51E-01,0.6169416159,0.4172019495,1,12,9,0,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2400,30.09237802,74.54192857,97.81757868,0,11,19,0.95,215.7677644,202.45,0.00E+00,0.609488356,0.4045051051,1,12,9,-1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2406,30.1064423,74.60798641,97.8241482,0,11,19,0.8,206.6038185,202.47552,0.00E+00,0.6837997274,0.4045853553,1,12,9,-1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2412,30.1227966,74.67903361,97.82900509,0,11,19,1.35,203.5809746,195.2244725,0.00E+00,0.6719906786,0.3769754297,1,12,9,-1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2418,30.12272107,74.7231216,97.83627703,0,11,19,1.248693333,197.6001917,190.5982809,0.00E+00,0.6367422075,0.3373917007,1,11,8,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2424,30.1527841,74.76981722,97.84036934,0,11,19,1.975,191.2301694,192.65,0.00E+00,0.6162552958,0.3430704958,1,11,8,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2430,30.15280308,74.82212389,97.84494151,0,11,19,1.925,192.1597405,196.65,0.00E+00,0.6118671215,0.3587908075,1,11,9,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2436,30.15279787,74.86957136,97.85174359,0,11,19,1.825,195.15,197,0.00E+00,0.6023155348,0.3483477222,1,11,9,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2442,30.15279787,74.91391114,97.85986204,0,11,19,1.825,196.15,203.275,0.00E+00,0.5768987647,0.3529327801,1,11,9,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2448,30.15279787,74.92817273,97.86573127,0,11,19,1.7,202.55,192.400495,0.00E+00,0.6024558744,0.3847723501,1,11,8,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2454,30.15279787,74.89876187,97.86546595,0,11,19,0.02428126984,195.525,200.1494563,0.00E+00,0.6355400886,0.3848038947,1,11,9,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2460,30.15279787,74.94751007,97.86554064,1,11,19,0.025,193.5964286,211.8269472,2.84E-04,0.6040511773,0.3450235737,1,11,9,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2466,30.15827884,74.97539179,97.8713686,1,11,19,0.55,211.875,197.375,2.61E-04,0.6331007226,0.3865344748,1,12,9,0,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2472,30.04995288,75.02500385,97.87857342,1,11,19,3.28305,198.775,179.175,2.61E-04,0.5726454598,0.3801097114,1,11,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2478,30.05710138,75.07476327,97.88306024,1,11,19,3.458628889,184.55189,175.15,1.55E-01,0.6668942623,0.3684281742,1,10,8,0,1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2484,30.2018654,75.12222485,97.88706267,2,11,19,5.793125,177.45,178.1495025,8.72E-02,0.6304509284,0.32580954,1,10,8,1,1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2490,30.19784119,75.16175605,97.89218401,2,11,19,5.929761905,163.3372044,196.625,1.95E-01,0.5459707349,0.3454519433,1,9,9,1,2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2496,30.10817767,75.00142519,97.89859831,2,11,19,9.9612,194.825,171.0254325,2.79E-01,0.5407449391,0.3466293183,2,11,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2502,30.11518075,75.02010172,97.90344375,2,10,19,9.921086667,175.7947815,178.375,3.96E-01,0.5283096615,0.3302637697,2,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2508,30.12557826,75.06562142,97.9062418,2,10,19,9.720417222,165.85,182.55,5.92E-01,0.6076405922,0.3180407321,2,9,8,0,1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2514,30.15817241,74.98680239,97.91074863,2,10,19,7.221679444,181.1,192.175,6.85E-01,0.6263731924,0.3180223071,1,10,8,1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2520,30.16029694,75.03717033,97.91687258,1,10,19,6.5556,190.2242766,194.95,4.87E-01,0.6083415394,0.3331314121,1,11,9,0,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2526,30.17070052,75.09891868,97.92154843,1,10,19,1.864890794,194.5392857,175.5754313,7.69E-01,0.6191603716,0.3386216454,1,11,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2532,30.17977094,75.1580481,97.92679663,1,10,19,1.375,190,183.25,9.03E-01,0.6281731628,0.3376591279,1,11,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2538,30.17492569,75.19092062,97.93198311,1,10,19,3.65,172.525,197.35,1.00E+00,0.6551901561,0.3564821213,1,10,9,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2544,30.14570166,75.08018932,97.93629784,1,10,19,6.565448889,191.3571429,185.5506676,7.92E-01,0.6536250163,0.3619554331,1,11,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2550,30.15959575,75.04510814,97.9433626,0,10,19,6.620908064,193.225,181.875,0.00E+00,0.6203568412,0.3548213987,1,11,8,-1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2556,30.18753483,75.09733059,97.94772734,1,10,19,7.380008889,183.125,170.35,0.00E+00,0.6479867139,0.3473817546,1,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2562,30.18402595,75.14106072,97.95132628,2,10,19,7.362791111,173.6295975,172.625,4.65E-01,0.6257064302,0.3350255727,1,10,8,1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2568,30.17146183,75.18731915,97.95575561,2,9,19,8.139045079,169.025,186.525,4.68E-01,0.6873932082,0.3253057933,2,10,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2574,30.07836066,75.24660017,97.96088289,1,9,19,10.12164444,177.125,184.425,3.36E-01,0.6816485512,0.3291974969,2,10,8,-1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2580,30.15858812,75.15654886,97.96609624,1,9,19,6.5,188.475,180.075,3.94E-01,0.6052901418,0.3071189722,1,11,8,0,-2,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2586,30.32653145,75.1392682,97.96219591,1,9,19,7.825782578,182.475,169.25,4.53E-01,0.6839411286,0.3420930933,2,10,7,-1,-1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2592,30.34485931,75.17724074,97.96648669,1,9,19,7.95,170.85,172.7,6.07E-01,0.6553142617,0.3235735007,2,10,8,-1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2598,30.34436406,75.21319759,97.96970076,1,9,19,7.05,171.425,175.05,6.77E-01,0.6475307766,0.3281035582,1,10,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2604,30.38612011,75.26106917,97.97377317,2,9,19,7.125,174.9357143,189.85,3.97E-01,0.6582737376,0.3279641268,1,10,8,1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2610,30.38317667,75.2348809,97.97863911,2,9,19,4.424726984,167.2000603,180.675,5.34E-01,0.6549823926,0.3318681809,1,9,8,1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2616,30.26104886,74.98238916,97.97413551,3,9,19,6.769777778,184.35,170.875,4.78E-01,0.6936488865,0.3364622538,1,10,8,2,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2622,30.30328705,74.97819437,97.97788764,2,9,19,7.368518519,173.1,180.075,2.11E-01,0.711117938,0.3148725749,1,10,8,1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2628,30.24711034,75.00623335,97.98193547,2,9,19,9.925,172.175,198.5,2.36E-01,0.666881155,0.3346299182,2,10,9,0,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2634,30.33016519,74.96674739,97.98727138,3,9,19,14.68681358,191.125,199.075,4.71E-01,0.7093630776,0.3494152863,2,11,9,1,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2640,30.49217077,74.97224358,97.9935392,3,9,19,15.28598032,195.45,205.55,5.90E-01,0.6865609976,0.3643082379,3,11,9,0,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2646,30.37746024,74.87995018,97.99754866,3,9,19,13.9840927,209.15,185.2,7.05E-01,0.7431837914,0.3869964183,2,12,8,1,-3,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2652,30.40352911,74.8677002,98.00392174,2,9,19,15.15836601,200,187.825,7.85E-01,0.7531207678,0.3611334396,3,11,8,-1,-2,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2658,30.38736536,74.90170891,98.00760904,2,9,19,15.94533173,186.6,184.95,7.61E-01,0.7267011809,0.348787045,3,11,8,-1,-2,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2664,30.30219314,74.92927079,98.01190354,1,9,19,16.25225336,188.2,180.025,8.73E-01,0.7500087206,0.3328855909,3,11,8,-2,-2,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2670,30.31034552,74.9486947,98.01574004,1,9,19,14.16271048,184.65,180.05,9.74E-01,0.6929357953,0.3247913088,2,10,8,-1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2676,30.3964898,74.99735808,98.02004129,2,9,19,13.05897714,180.1597478,172.2,6.71E-01,0.692534294,0.3372355299,2,10,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2682,30.42040526,75.04356326,98.02508637,2,10,19,11.05424085,180.1345564,179.3194257,6.59E-01,0.6398426073,0.3237525128,2,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2688,30.30736023,75.09306234,98.03014371,2,10,19,14.63093206,175.8264874,183.125,6.87E-01,0.5906180571,0.3356086806,2,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2694,30.2005416,75.12512752,98.03539079,2,10,19,16.2,183.4354337,169.775,7.27E-01,0.5658873195,0.3216134045,3,10,7,-1,0,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2700,30.19004644,75.15344232,98.03966434,2,10,19,13.6924673,172.6244,165.75,6.12E-01,0.5743387194,0.3044925926,2,10,7,0,0,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2706,30.05014511,75.18965565,98.04171945,2,10,19,16.28184,166.8112106,162.7,7.78E-01,0.6230818264,0.3203889331,3,9,7,-1,1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2712,30.17611196,75.23632535,98.04437362,1,10,19,17.26940069,161.8986958,160.875,8.09E-01,0.6213320739,0.3169345966,3,9,7,-2,1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2718,30.17155732,75.28611256,98.04945221,1,10,19,16.70176667,159.675,165.65,8.09E-01,0.5821468369,0.3020616651,3,9,7,-2,1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2724,30.17134826,75.32657041,98.05329934,1,10,19,12.60635111,158.0785714,156.55,8.09E-01,0.5635612391,0.3122580378,2,9,7,-1,1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2730,30.17223725,75.25028087,98.05944457,1,10,19,7.221806667,160.2,161.0493326,7.76E-01,0.5793401211,0.2993572682,1,9,7,0,1,12,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2736,30.17093136,75.28847656,98.06245198,2,10,19,5.816850794,157.1,176.15,4.23E-01,0.5163465512,0.2919507723,1,9,8,1,1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2742,30.25137878,75.32804364,98.06686081,1,10,19,2.47799873,172.775,191.4,1.13E-01,0.5662206384,0.3176709747,1,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2748,30.33372047,75.36371819,98.07108915,1,10,19,1.2,183.2714286,185.225,1.32E-01,0.5739206959,0.3314537159,1,10,8,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2754,30.36338587,75.3425585,98.07689233,2,10,19,4.546875216,188.6437511,193.625,5.60E-01,0.6169188515,0.3564983984,1,11,8,1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2760,30.38707694,75.31153624,98.08064637,2,10,19,4.747066667,190.9,183.4,7.13E-01,0.6423354623,0.3392487214,1,11,8,1,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2766,30.29882986,75.31109078,98.08588479,2,10,19,7.545225926,187.575,181.025,7.14E-01,0.6393733081,0.341340664,2,11,8,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2772,30.30251512,75.34588367,98.09024552,1,10,18,7.962525926,184.375,177.3366123,4.52E-01,0.6627961691,0.3481625312,2,10,8,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2778,30.29824336,75.3722916,98.09258247,1,10,18,5.925925926,177.2,177.3182637,7.76E-01,0.6184106587,0.366971964,1,10,8,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2784,30.29824336,75.42103494,98.09664401,1,10,18,6.560846561,178.925,162.5,8.43E-01,0.6266514721,0.3328896937,1,10,7,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2790,30.29824336,75.453063,98.10078213,1,9,18,5.016044444,167.1414533,171.075,9.92E-01,0.6283652573,0.3250269414,1,9,8,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2796,30.29824336,75.47897408,98.10410669,1,9,18,4.5832,174.075,160.7,1.00E+00,0.6277255196,0.3370682365,1,10,7,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2802,30.29824336,75.49519154,98.10922039,0,9,18,0,161.775,173.5137717,0.00E+00,0.6381531808,0.3318233687,0,9,8,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2808,30.32254285,75.47702668,98.11263094,0,9,18,1.064778446,163.6,180.275,0.00E+00,0.6043446205,0.3178056253,1,9,8,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2814,30.36418106,75.42882189,98.11799914,1,9,18,1.464527861,179.65,164.575,6.42E-01,0.6417293204,0.3470459522,1,10,7,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2820,30.43494301,75.45376569,98.12103742,1,9,18,2.986733872,168.1,161.65,8.84E-01,0.6647945396,0.335903854,1,10,7,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2826,30.36739922,75.48775585,98.12283814,1,9,18,4.833333333,158.4464286,166.875,7.21E-01,0.6578451203,0.3311489166,1,9,7,0,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2832,30.36638701,75.45813373,98.12650028,0,9,18,4.833333333,166.4,159.025,0.00E+00,0.6739629475,0.3177435062,1,9,7,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2838,30.36722206,75.46396706,98.13134858,0,9,18,4.833333333,160.5,160,0.00E+00,0.60038622,0.3181167266,1,9,7,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2844,30.36722206,75.51165936,98.13422385,0,9,18,4.458901117,161.5821429,157.475,0.00E+00,0.6430891287,0.3324103864,1,9,7,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.84,,
2850,30.36722206,75.48508595,98.1384508,0,9,18,5.1132,159.475,164.625,0.00E+00,0.5752464855,0.2817900811,1,9,7,-1,0,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2856,30.36722206,75.51942947,98.14242996,0,9,18,4.214,162.725,173.15,0.00E+00,0.6126241098,0.3187804969,1,9,8,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2862,30.36722206,75.55416541,98.14637544,0,9,18,0,170.675,158.15,0.00E+00,0.6222617318,0.3305148019,0,10,7,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2868,30.36722206,75.59303134,98.14934377,0,9,18,0,171.65,163.5,0.00E+00,0.6384919804,0.320959866,0,10,7,0,-1,11,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2874,30.36722206,75.61329526,98.15246624,0,9,18,0,151.5281244,185.85,0.00E+00,0.6859535085,0.3455314669,0,9,8,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2880,30.36722206,75.52041609,98.14429646,1,9,18,0,162.0865752,180.225,3.11E-04,0.6056040211,0.3360030331,0,9,8,1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2886,30.36722206,75.32748432,98.12533154,1,9,18,0,174.9512317,180.1621714,3.64E-04,0.6116398396,0.3637493005,0,10,8,1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2892,30.36722206,75.21213177,98.12430422,1,9,17,0,180.45,170.1681215,4.17E-04,0.6947141596,0.3742927308,0,10,8,1,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2898,30.36722206,75.24545596,98.12054551,1,9,17,0,175.325,167.15,2.23E-01,0.6922691042,0.3774503369,0,10,7,1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2904,30.36722206,75.2809201,98.12280395,1,9,17,0,167.875,179.925,2.53E-01,0.6804809719,0.3676857779,0,10,8,1,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2910,30.36722206,75.30801535,98.12493691,1,9,17,0,179,167.85,4.27E-01,0.6710748347,0.3653658172,0,10,7,1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2916,30.36722206,75.33796654,98.12922286,1,9,17,0,176.6,174.35,5.39E-01,0.6832502307,0.367924073,0,10,8,1,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2922,30.36722206,75.24400109,98.13402266,1,9,17,0,173.65,167.7788682,4.57E-01,0.7057233111,0.365464278,0,10,7,1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2928,30.36722206,75.18156014,98.13534842,1,9,17,0,176.125,158.9,7.70E-01,0.5903366286,0.3422715595,0,10,7,1,-1,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2934,30.36722206,75.1932707,98.13952891,1,9,17,0,160.775,161.45,7.28E-01,0.6432083599,0.3329319741,0,9,7,1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2940,30.36722206,75.22103755,98.14075649,0,9,17,0,161.325,155.35,0.00E+00,0.6521204567,0.3529613222,0,9,7,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2946,30.36722206,75.25376682,98.1431277,0,9,17,0,160.5,156.775,0.00E+00,0.621093414,0.3392528705,0,9,7,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2952,30.35453201,75.28583488,98.14605423,0,9,17,0.2706301492,152.2,161.025,0.00E+00,0.5983545006,0.3329561541,1,9,7,-1,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2958,30.22779269,75.31544699,98.14935248,1,9,17,4.4,159.15,168.775,1.00E+00,0.5968683167,0.3106115921,1,9,7,0,0,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2964,30.22712426,75.17775963,98.15348474,1,9,17,4.4,152.0469981,172.65,8.24E-01,0.608388862,0.3326662596,1,9,8,0,0,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2970,30.22775216,74.97452072,98.15821555,1,9,17,4.4,164.2571429,191.8,7.24E-01,0.5279098591,0.353205098,1,9,8,0,0,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2976,30.22775216,74.94590922,98.16192258,0,9,17,4.4,188.7,193.55,0.00E+00,0.5944423282,0.3900972529,1,11,8,-1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2982,30.22775216,74.96356253,98.16645827,0,9,17,5.219953287,193.825,197.625,0.00E+00,0.6931649437,0.4067375504,1,11,9,-1,-2,8,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2988,30.22775216,74.99200407,98.16857314,0,9,17,6.642946667,193.65,193.125,0.00E+00,0.7058054937,0.4087383991,1,11,8,-1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
2994,30.08288811,75.02957806,98.17246678,0,9,17,6.15,195.15,184.75,0.00E+00,0.7186825534,0.4232098224,1,11,8,-1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3000,30.08273034,74.99213231,98.17535621,1,9,17,1.966048703,188.7471917,186.55,4.50E-01,0.7119865444,0.4120317707,1,11,8,0,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3006,30.10657284,74.86376254,98.18065628,1,9,17,2.142226964,178.4675638,180.125,5.33E-01,0.7041207757,0.3881824137,1,10,8,0,-1,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3012,30.03591447,74.68015495,98.18607005,1,8,17,4.939935296,184.6852889,168.125,4.92E-01,0.7569864942,0.3726107234,1,10,7,0,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3018,30.04445555,74.66374698,98.18867219,2,8,17,4.733735596,170.65,176.775,3.31E-01,0.6983346916,0.3721151149,1,10,8,1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3024,30.14966641,74.69997903,98.19082674,2,8,17,6.412169174,173.975,181.5,3.71E-01,0.742064086,0.358567358,1,10,8,1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3030,30.14640213,74.67485554,98.19383296,2,8,17,6.368430968,176.725,176.05,3.96E-01,0.7373545264,0.3666500643,1,10,8,1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3036,30.16563371,74.63658616,98.19800166,2,8,17,5.125,183.325,178.575,4.92E-01,0.7462639583,0.3936035232,1,10,8,1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3042,30.16785841,74.63979657,98.20195565,2,8,17,5.15,172.4959625,169.427326,4.48E-01,0.7960812931,0.3651256973,1,10,7,1,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3048,30.16970367,74.47639555,98.1828044,2,8,17,2.861134603,176.3857143,169.475,5.37E-01,0.8119605279,0.3521041594,1,10,7,1,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3054,30.17883719,74.43076371,98.17501763,2,8,17,2.816666667,172.025,174.05,6.44E-01,0.7764890793,0.383740197,1,10,8,1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3060,30.20008479,74.46749511,98.17653926,1,8,17,1.3,173.425,174.525,6.36E-01,0.6984916829,0.3506699492,1,10,8,0,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3066,30.20231881,74.50122662,98.18007751,1,8,17,0.85,176.75,176.3,7.08E-01,0.7524170294,0.375145803,1,10,8,0,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3072,30.18154506,74.51825271,98.18367229,1,8,17,1.375,176.375,187.325,9.02E-01,0.7735641618,0.3799448715,1,10,8,0,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3078,30.16792696,74.48554346,98.18775002,1,8,17,2.271819683,178.2428571,172.475,1.00E+00,0.7843183723,0.3789454255,1,10,8,0,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3084,29.93145568,74.37230764,98.19008188,0,8,17,8.95,182.8,168.525,0.00E+00,0.7700274333,0.3675064888,2,10,7,-2,-2,10,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3090,29.93001562,74.36587687,98.19268595,0,8,17,8.872290794,166.325,181.9,0.00E+00,0.7232062063,0.3535547813,2,10,8,-2,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
3096,30.02796427,74.33076771,98.19524983,1,8,17,9.009340341,178.425,184.7,2.45E-04,0.7625684825,0.3554014395,2,10,8,-1,-2,9,97,7,,,,,0.65,,,,,,#DIV/0!,#DIV/0!,0.85,,
