-6,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,HPAFastCPU60,DM98CPU60RT500,FA,,,,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,,,,,,,
450,63.98420485,97.42269815,95.89587843,3,16,14,67.24,139,136.16,0.7231487398,2.66E-01,0.2758533961,5,7,7,-2,9,7,98,7,,,,,0.65,,,,,,,,0.7
456,64.02303677,97.46238272,95.95770355,3,16,14,67.12,128.9585474,125.96,0.7223925283,2.61E-01,0.2328337153,5,6,6,-2,10,8,98,7,,,,,0.65,,,,,,,,0.7
462,64.07830569,97.4935373,96.00257368,3,15,14,65.2,118.52,112.36,0.6869101248,2.53E-01,0.2456840786,5,6,5,-2,9,9,98,7,,,,,0.65,,,,,,,,0.7
468,64.48912826,97.51640324,96.03465471,3,15,14,65.32,101.92,94.68,0.6233243002,2.14E-01,0.1955580694,5,5,5,-2,10,9,98,7,,,,,0.65,,,,,,,,0.7
474,65.13213832,97.54925429,96.08216533,3,15,14,63.88,82.68,73.44,0.7186143694,1.72E-01,0.1781445369,5,4,4,-2,11,10,98,7,,,,,0.65,,,,,,,,0.7
480,65.50741966,97.55617295,96.09272533,3,15,14,54.2,60.80101453,54.8,0.5850892935,1.39E-01,0.1281056336,4,3,3,-1,12,11,98,7,,,,,0.65,,,,,,,,0.7
486,65.5782139,97.55230131,96.08215233,3,15,14,42.52,37.76,32.24,0.5719780998,8.93E-02,0.08886715453,3,2,2,0,13,12,98,7,,,,,0.65,,,,,,,,0.7
492,65.60805011,97.55355195,96.08804683,3,15,14,31.8,25.2,21.52,0.3916169883,6.35E-02,0.06797918053,3,2,1,0,13,13,98,7,,,,,0.65,,,,,,,,0.7
498,65.94260213,97.56289699,96.10389216,3,15,14,21.84,19.8,19.8,0.3277187994,4.43E-02,0.03472162217,2,1,1,1,14,13,98,7,,,,,0.65,,,,,,,,0.7
504,66.44602321,97.59347095,96.1590079,3,15,14,26.4,24,30,0.1566317617,4.51E-02,0.03811534225,2,2,2,1,13,12,98,7,,,,,0.65,,,,,,,,0.7
510,67.17230007,97.6152716,96.19651379,3,15,14,44.16,40.28,45.8,0.14331503,5.97E-02,0.079329439,3,2,3,0,13,11,98,7,,,,,0.65,,,,,,,,0.7
516,67.3522993,97.64515596,96.24549839,3,15,14,57.88,64.08,69.6,0.2792933166,9.32E-02,0.08800806655,4,3,4,-1,12,10,98,7,,,,,0.65,,,,,,,,0.7
522,67.53169338,97.6781943,96.30119622,3,14,14,68.48,82.76,89.08,0.5070306338,1.31E-01,0.1605896602,5,4,4,-2,10,10,98,7,,,,,0.65,,,,,,,,0.7
528,67.54100778,97.71350482,96.36111947,4,14,14,73.8971,99.76,105.92,0.5094532887,1.80E-01,0.1812028605,5,5,5,-1,9,9,98,7,,,,,0.65,,,,,,,,0.7
534,67.58188313,97.76785905,96.45000031,4,14,14,74.7472,116.16,122.5178789,0.5354716929,2.39E-01,0.2105539795,5,6,6,-1,8,8,98,7,,,,,0.65,,,,,,,,0.7
540,67.827672,97.80947638,96.50978598,4,14,14,73.36760167,130.04,132.92,0.544259679,2.54E-01,0.2464946961,5,6,6,-1,8,8,98,7,,,,,0.65,,,,,,,,0.7
546,67.87807303,97.85102779,96.57288185,4,14,14,74.858176,139.96,140.6,0.6567197696,2.82E-01,0.2256019848,5,7,7,-1,7,7,98,7,,,,,0.65,,,,,,,,0.7
552,67.82838106,97.88455492,96.63123674,4,14,14,79.84,142.08,144.6,0.647141978,3.20E-01,0.2808884641,6,7,7,-2,7,7,98,7,,,,,0.65,,,,,,,,0.7
558,67.62558516,97.91811956,96.68481244,4,14,14,84.28,145,144.882487,0.6018298314,3.22E-01,0.2803788445,6,7,7,-2,7,7,98,7,,,,,0.65,,,,,,,,0.7
564,67.67281922,97.96565703,96.75986567,4,14,14,85.96,144.08,143.32,0.6608433573,3.05E-01,0.2651733823,6,7,7,-2,7,7,98,7,,,,,0.65,,,,,,,,0.7
570,67.70600788,97.99766869,96.80505088,4,14,14,84.6,140.84,139.84,0.6215152281,2.84E-01,0.2762724585,6,7,7,-2,7,7,98,7,,,,,0.65,,,,,,,,0.7
576,67.48586959,98.0224482,96.84434669,4,14,14,81.32,132.1985154,130.6,0.6474802894,2.91E-01,0.2479334983,6,6,6,-2,8,8,98,7,,,,,0.65,,,,,,,,0.7
582,67.6326972,98.04228065,96.87389338,4,14,14,75,120.88,117.56,0.6583209255,2.54E-01,0.2563213124,5,6,6,-1,8,8,98,7,,,,,0.65,,,,,,,,0.7
588,68.00354168,98.05807088,96.89630907,4,14,14,71.08,108.7,102.08,0.6314322186,2.46E-01,0.1997858266,5,5,5,-1,9,9,98,7,,,,,0.65,,,,,,,,0.7
594,68.53612296,98.07974852,96.92931835,3,13,14,69.52,87.56,81.2,0.6793885032,1.98E-01,0.1708900543,5,4,4,-2,9,10,98,7,,,,,0.65,,,,,,,,0.7
600,68.74070247,98.0846934,96.938757,3,13,14,62.32,65.12072332,63.28,0.6799214872,1.78E-01,0.1274438147,4,3,3,-1,10,11,98,7,,,,,0.65,,,,,,,,0.7
606,68.84373942,98.08465953,96.93417372,3,13,14,51.6,44.48,39.36,0.6271725323,1.30E-01,0.1028197814,4,2,2,-1,11,12,98,7,,,,,0.65,,,,,,,,0.7
612,68.91413904,98.08484918,96.93453327,3,13,14,33.2,28.08,25.4,0.4409443089,7.83E-02,0.06690344722,3,2,2,0,11,12,98,7,,,,,0.65,,,,,,,,0.7
618,69.0309982,98.08870053,96.94198842,3,13,14,24.12,20.92,19.8,0.3541825711,5.88E-02,0.03992178119,2,1,1,1,12,13,98,7,,,,,0.65,,,,,,,,0.7
624,69.44013402,98.10732874,96.9740319,3,13,14,27.12,22.64,26.04,0.1681937616,4.70E-02,0.03929312589,2,1,2,1,12,12,98,7,,,,,0.65,,,,,,,,0.7
630,69.7450777,98.11871773,96.99620507,4,13,14,35.2,36.32,40.52,0.1697727115,5.64E-02,0.07316507372,3,2,2,1,11,12,98,7,,,,,0.65,,,,,,,,0.7
636,69.94704064,98.13551139,97.02370991,4,13,14,52.2938,57.32,63.12,0.2382839001,9.77E-02,0.09537847694,4,3,3,0,10,11,98,7,,,,,0.65,,,,,,,,0.7
642,70.30012482,98.15499939,97.05782648,4,13,14,68.579775,76,83.76,0.4042922586,1.44E-01,0.1332825274,5,4,4,-1,9,10,98,7,,,,,0.65,,,,,,,,0.7
648,70.51850435,98.17667095,97.09394559,4,13,14,77.50289333,93.92,100.6,0.3841257151,1.58E-01,0.1596765324,5,5,5,-1,8,9,98,7,,,,,0.65,,,,,,,,0.7
654,70.70815536,98.2118616,97.15137099,4,13,14,87.686656,111.84,118.56,0.5342669274,2.29E-01,0.1857449279,6,5,6,-2,8,8,98,7,,,,,0.65,,,,,,,,0.7
660,70.65638819,98.23842525,97.19221546,4,12,14,95.68,127.36,132.24,0.5625740738,2.91E-01,0.234449749,6,6,6,-2,6,8,98,7,,,,,0.65,,,,,,,,0.7
666,70.69136,98.26365442,97.23144579,4,12,14,98.64,137.4,139.16,0.601764484,2.99E-01,0.2356692912,6,6,7,-2,6,7,98,7,,,,,0.65,,,,,,,,0.7
672,70.87412836,98.28598309,97.26826064,4,12,14,99.08,141.2,143.12,0.5930532129,3.24E-01,0.2736103024,6,7,7,-2,5,7,98,7,,,,,0.65,,,,,,,,0.7
678,70.9934917,98.30862473,97.30455349,4,12,14,99.52,144.2,146,0.6305757497,3.10E-01,0.2719343641,6,7,7,-2,5,7,98,7,,,,,0.65,,,,,,,,0.7
684,70.90359077,98.34088729,97.35550988,4,12,14,94.32,144.7980419,143.92,0.720864364,3.54E-01,0.2715995631,6,7,7,-2,5,7,98,7,,,,,0.65,,,,,,,,0.7
690,70.84602709,98.36215346,97.38740328,4,12,14,78.4,140.76,141.32,0.6572010991,3.45E-01,0.2704080062,5,7,7,-1,5,7,98,7,,,,,0.65,,,,,,,,0.7
696,70.66879653,98.3798214,97.41288838,4,12,14,69.6,135.12,133.64,0.61898066,3.13E-01,0.2481254138,5,6,6,-1,6,8,98,7,,,,,0.65,,,,,,,,0.7
702,70.27037653,98.39423807,97.43569292,4,12,14,58.08,126.16,123.08,0.5566892582,3.06E-01,0.2351506458,4,6,6,0,6,8,98,7,,,,,0.65,,,,,,,,0.7
708,70.15672975,98.40536574,97.45189403,4,12,14,46,113.521357,108.4,0.508228839,2.76E-01,0.2015774882,3,5,5,1,7,9,98,7,,,,,0.65,,,,,,,,0.7
714,70.23902683,98.42199952,97.47711751,2,12,14,45.64,95.72,88.48,0.7963789715,2.44E-01,0.192226753,3,5,4,-1,7,10,98,7,,,,,0.65,,,,,,,,0.7
720,70.47562099,98.42641425,97.48215342,2,12,14,45.96,74.52,67.72,0.7963789715,2.10E-01,0.1477425798,3,4,3,-1,8,11,98,7,,,,,0.65,,,,,,,,0.7
726,70.59779308,98.42739901,97.48289845,2,12,14,43.16,51.72,46.68,0.638643124,1.44E-01,0.1197951378,3,3,3,-1,9,11,98,7,,,,,0.65,,,,,,,,0.7
732,70.66535742,98.42700157,97.48228105,2,12,14,31.72,32.96,29.32,0.6983177766,1.17E-01,0.07372412746,2,2,2,0,10,12,98,7,,,,,0.65,,,,,,,,0.7
738,70.75385463,98.42802847,97.4853093,2,11,14,23.08,22.56,20.64,0.5399159476,8.33E-02,0.04778204812,2,1,1,0,10,13,98,7,,,,,0.65,,,,,,,,0.7
744,70.92572742,98.44024933,97.50524724,2,11,14,22.8,20.44,22.6,0.4030725178,6.57E-02,0.03755180078,2,1,1,0,10,13,98,7,,,,,0.65,,,,,,,,0.7
750,70.99744609,98.44740439,97.51807017,3,11,14,28.50106667,30.96,34.56,0.3227196851,7.38E-02,0.062363382,2,2,2,1,9,12,98,7,,,,,0.65,,,,,,,,0.7
756,70.97839292,98.45804388,97.53434423,3,11,14,38.17968,50.88,54.44,0.3137926591,8.41E-02,0.08072515281,3,3,3,0,8,11,98,7,,,,,0.65,,,,,,,,0.7
762,71.03760407,98.47090722,97.55684447,3,11,14,51.61915,71.16,74.92,0.395170579,1.26E-01,0.1239245843,4,4,4,-1,7,10,98,7,,,,,0.65,,,,,,,,0.7
768,71.05735841,98.48608128,97.58032944,3,11,14,57.396236,91.52,93.44,0.3952573161,1.98E-01,0.1500885515,4,4,5,-1,7,9,98,7,,,,,0.65,,,,,,,,0.7
774,70.99642814,98.50831615,97.61989768,3,11,14,61.41796267,106.7215554,112.4,0.6519386272,2.37E-01,0.197353478,4,5,5,-1,6,9,98,7,,,,,0.65,,,,,,,,0.7
780,70.92110565,98.5268424,97.64739969,3,11,14,65.56,123.7580355,127.04,0.5588609133,2.67E-01,0.2495203039,4,6,6,-1,5,8,98,7,,,,,0.65,,,,,,,,0.7
786,70.86558257,98.544743,97.67482323,3,11,14,63.84,135.12,136.68,0.6322460322,3.07E-01,0.2378497481,4,6,6,-1,5,8,98,7,,,,,0.65,,,,,,,,0.7
792,70.85898599,98.56053038,97.701834,3,11,14,59.68,140.0011745,142.56,0.5966976206,4.05E-01,0.2587720056,4,7,7,-1,4,7,98,7,,,,,0.65,,,,,,,,0.7
798,70.85074486,98.58502717,97.72689119,3,10,14,61.08,143.72,144.84,0.5400176377,3.99E-01,0.2613986539,4,7,7,-1,3,7,98,7,,,,,0.65,,,,,,,,0.7
804,70.76295667,98.59905352,97.76463363,3,10,14,60.64,143.64,146,0.670191527,4.13E-01,0.274379427,4,7,7,-1,3,7,98,7,,,,,0.65,,,,,,,,0.7
810,70.36305818,98.61469177,97.78763689,3,10,14,56.12,141.56,141.88,0.595557492,4.03E-01,0.2716099763,4,7,7,-1,3,7,98,7,,,,,0.65,,,,,,,,0.7
816,69.93271912,98.62804283,97.80756103,3,10,14,54.84,136.16,137.4,0.6760336519,3.70E-01,0.2529983411,4,6,6,-1,4,8,98,7,,,,,0.65,,,,,,,,0.7
