,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
270,49.84361413,94.33067616,93.71424621,2,5,4,7.67962963,94.35488889,96.525,7.33E-01,0.5905140922,0.7511681939,1,5,5,1,0,-1,97,7,,,,,0.65,,76.86413596,9,97.32,76.86413596,6,-3,0.75,,
276,50.43124679,94.63622822,93.96080739,1,5,4,8.981424709,96.175,98,6.47E-01,0.6055605153,0.8312258638,1,5,5,0,0,-1,97,7,,,,,0.65,,77.35361052,9,78.64,77.35361052,5,-4,0.75,,
282,50.50369276,94.83956234,93.61745541,1,5,4,5.465468478,98.225,99.325,7.17E-01,0.6386091419,0.8856229335,1,5,5,0,0,-1,97,7,,,,,0.65,,77.29204241,9,42.92,77.29204241,3,-6,0.75,,
288,50.51743704,95.01010987,93.44251531,1,5,4,5.773738067,98.8,100.025,6.74E-01,0.6740873058,0.7510654865,1,5,5,0,0,-1,97,7,,,,,0.65,,77.29102488,9,16.2775366,77.29102488,1,-8,0.75,,
294,50.45918586,95.18355488,93.73277821,1,5,8,5.05,100,99.89326667,9.88E-01,0.6686050262,0.6806975098,1,5,5,0,0,3,97,7,,,,,0.65,,77.21473843,9,4.839403479,77.21473843,1,-8,0.75,,
300,50.45490067,95.35864366,93.9177447,2,5,8,4.95,100,100.0073578,5.32E-01,0.739478564,0.5040732007,1,5,5,1,0,3,97,7,,,,,0.65,,77.24974503,9,0.24,77.24974503,1,-8,0.75,,
306,50.47699629,95.57371299,93.82835415,1,5,8,1.920888889,100.3,100.899936,4.56E-02,0.7164304309,0.4114350015,1,5,5,0,0,3,97,7,,,,,0.65,,77.31188783,21,0,77.31188783,0,-21,0.75,,
312,48.21318927,95.7071533,94.03734934,1,5,8,3.474074074,99.625,98.79524508,1.51E-01,0.703297208,0.4606443402,1,5,5,0,0,3,97,7,,,,,0.65,,77.25673063,21,0,77.25673063,0,-21,0.75,,
318,47.6910768,95.8269281,94.24080283,2,5,8,4.525,100.35,99.86786907,6.74E-01,0.7028121509,0.4308280256,1,5,5,1,0,3,97,7,,,,,0.65,,77.26086909,21,0,77.26086909,0,-21,0.75,,
324,47.38793317,95.949447,94.45884479,2,5,12,6.489895115,100.425,96.66273056,6.04E-01,0.6825534807,0.2722496459,1,5,5,1,0,7,97,7,,,,,0.65,,77.18519735,21,0,77.18519735,0,-21,0.75,,
330,47.3411743,96.06842628,94.60745797,2,5,12,6.47332,100.35,97.69094144,5.70E-01,0.6902792803,0.3009814401,1,5,5,1,0,7,97,7,,,,,0.65,,77.21260203,21,0,77.21260203,0,-21,0.75,,
336,47.76665898,96.22834021,94.77927033,1,5,12,6.646653573,100.025,101.5652228,3.96E-01,0.6500158663,0.2832164555,1,5,5,0,0,7,97,7,,,,,0.65,,77.22044158,21,0,77.22044158,0,-21,0.75,,
342,48.77884107,96.33308432,94.9220068,1,5,12,8.193244716,101.1,100.6138882,7.35E-01,0.6450132163,0.2798128933,1,5,5,0,0,7,97,7,,,,,0.65,,77.22017712,21,0,77.22017712,0,-21,0.75,,
348,48.77024897,96.42449118,95.06348563,1,5,12,5.061387483,101.8,102.7392333,8.80E-01,0.6998377959,0.2738844209,1,5,5,0,0,7,97,7,,,,,0.65,,77.26639439,21,0.303304,77.26639439,1,-20,0.75,,
354,48.76173658,96.49738424,95.23070777,1,5,12,3.951188148,103.475,104.4195967,9.80E-01,0.7624570015,0.3093104417,1,5,5,0,0,7,97,7,,,,,0.65,,77.53913126,21,4.449146667,77.53913126,1,-20,0.75,,
360,48.75329202,96.59933619,95.36129905,2,5,12,2.718390476,105.65,108.3234289,5.50E-01,0.7421182056,0.3024128441,1,5,5,1,0,7,97,7,,,,,0.65,,77.77335988,21,6.846717333,77.77335988,1,-20,0.75,,
366,48.71374256,96.72379705,95.49093155,1,5,12,3.883666667,108.35,112.05,1.19E-01,0.7017313582,0.2886596218,1,5,5,0,0,7,97,7,,,,,0.65,,77.90988177,21,8.659554667,77.90988177,1,-20,0.75,,
372,48.87344921,96.74663553,95.61098856,1,5,12,4.078292713,111.5,114.65,2.49E-01,0.7258733006,0.3351572652,1,5,5,0,0,7,97,7,,,,,0.65,,78.44879601,21,15.81304933,78.44879601,1,-20,0.75,,
378,48.88195118,96.82847152,95.72977336,2,5,12,3.555681778,113.95,118.525,5.31E-01,0.7855122157,0.3408198631,1,5,6,1,0,6,97,7,,,,,0.65,,79.57035069,21,30.90602,79.57035069,2,-19,0.75,,
384,47.52291577,96.89104259,95.87344734,2,5,12,5.836161008,117.1,121.375,4.67E-01,0.8053963693,0.3348517105,1,5,6,1,0,6,97,7,,,,,0.65,,81.31346841,21,55.628432,81.31346841,3,-18,0.75,,
390,47.56724804,96.65337784,95.983508,2,5,12,7.02006963,120.8,122.975,5.62E-01,0.8399187667,0.3549483461,1,6,6,1,-1,6,97,7,,,,,0.65,,82.94401675,21,85.27633867,82.94401675,5,-16,0.75,,
396,47.70717754,96.4980128,96.09761056,1,5,12,9.113382204,123.125,126.35,6.82E-01,0.7147145215,0.3484624208,1,6,6,0,-1,6,97,7,,,,,0.65,,84.47009377,21,117.3801413,84.47009377,7,-14,0.7,,
